name,wavelength units,index units,min,maxmin blue,max blue,min red,max red
CN_1,AA,mag,4142.125,4177.125,4080.125,4117.62500,4244.125,4284.125
CN_2,AA,mag,4142.125,4177.125,4083.875,4096.37500,4244.125,4284.125
Ca1_LB13,AA,ew,8484.000,8513.000,8474.000,8484.00000,8563.000,8577.000
Ca2_LB13,AA,ew,8522.000,8562.000,8474.000,8484.00000,8563.000,8577.000
Ca3_LB13,AA,ew,8642.000,8682.000,8619.000,8642.00000,8700.000,8725.000
Ca4227,AA,ew,4222.250,4234.750,4211.000,4219.75000,4241.000,4251.000
Ca4455,AA,ew,4452.125,4474.625,4445.875,4454.62500,4477.125,4492.125
CaH,AA,ew,6775.000,6817.000,6520.000,6545.00000,7035.000,7050.000
CaHK_LB13,AA,ew,3899.470,4003.470,3806.500,3833.82000,4020.690,4052.360
CaH_1,AA,mag,6357.500,6401.750,6342.125,6356.50000,6408.500,6429.750
CaH_2,AA,mag,6775.000,6900.000,6510.000,6539.25000,7017.000,7064.000
Fe4383,AA,ew,4369.125,4420.375,4359.125,4370.37500,4442.875,4455.375
Fe4531,AA,ew,4514.250,4559.250,4504.250,4514.25000,4560.500,4579.250
Fe4668,AA,ew,4634.000,4720.250,4611.500,4630.25000,4742.750,4756.500
Fe5015,AA,ew,4977.750,5054.000,4946.500,4977.75000,5054.000,5065.250
Fe5270,AA,ew,5245.650,5285.650,5233.150,5248.15000,5285.650,5318.150
Fe5335,AA,ew,5312.125,5352.125,5304.625,5315.87500,5353.375,5363.375
Fe5406,AA,ew,5387.500,5415.000,5376.250,5387.50000,5415.000,5425.000
Fe5709,AA,ew,5696.625,5720.375,5672.875,5696.62500,5722.875,5736.625
Fe5782,AA,ew,5776.625,5796.625,5765.375,5775.37500,5797.875,5811.625
G4300,AA,ew,4281.375,4316.375,4266.375,4282.62500,4318.875,4335.125
H_beta,AA,ew,4847.875,4876.625,4827.875,4847.87500,4876.625,4891.625
Hbeta0,AA,ew,4839.275,4877.097,4821.175,4838.40400,4897.445,4915.845
HbetaEW,AA,ew,4847.875,4876.625,4799.000,4839.00000,4886.000,4926.000
HdeltaEW,AA,ew,4083.500,4122.250,4017.000,4057.00000,4153.000,4193.000
Hdelta_A,AA,ew,4083.500,4122.250,4041.600,4079.75000,4128.500,4161.000
Hdelta_F,AA,ew,4091.000,4112.250,4057.250,4088.50000,4114.750,4137.250
HgammaEW,AA,ew,4319.750,4363.500,4242.000,4282.00000,4404.000,4444.000
Hgamma_A,AA,ew,4319.750,4363.500,4283.500,4319.75000,4367.250,4419.750
Hgamma_F,AA,ew,4331.250,4352.250,4283.500,4319.75000,4354.750,4384.750
Mg4780,AA,ew,4760.780,4798.800,4738.910,4757.31000,4819.780,4835.510
Mg_1,AA,mag,5069.125,5134.125,4895.125,4957.62500,5301.125,5366.125
Mg_2,AA,mag,5154.125,5196.625,4895.125,4957.62500,5301.125,5366.125
Mg_b,AA,ew,5160.125,5192.625,5142.625,5161.37500,5191.375,5206.375
NaI,AA,ew,8163.500,8229.125,8140.000,8163.50000,8230.250,8250.000
NaI_F13,AA,ew,8180.000,8200.000,8137.000,8147.00000,8233.000,8244.000
NaI_LB13,AA,ew,8180.000,8200.000,8143.000,8153.00000,8233.000,8244.000
NaI_V12,AA,ew,8180.000,8200.000,8164.000,8173.00000,8233.000,8244.000
Na_D,AA,ew,5876.875,5909.375,5860.625,5875.62500,5922.125,5948.125
OIIEW,AA,ew,3716.300,3738.300,3696.300,3716.30000,3738.300,3758.300
TiO2SDSS_LB13,AA,mag,6189.625,6272.125,6066.625,6141.62500,6442.000,6455.000
TiO3,AA,ew,6600.000,6723.000,6520.000,6545.00000,7035.000,7050.000
TiOCaH,AA,ew,6600.000,6817.000,6520.000,6545.00000,7035.000,7050.000
TiO_1,AA,mag,5936.625,5994.125,5816.625,5849.12500,6038.625,6103.625
TiO_2,AA,mag,6189.625,6272.125,6066.625,6141.62500,6372.625,6415.125
TiO_3,AA,mag,7123.750,7162.500,7017.000,7064.00000,7234.000,7269.000
TiO_4,AA,mag,7643.250,7717.250,7527.000,7577.75000,7735.500,7782.750
aTiO,AA,mag,5445.000,5600.000,5420.000,5442.00000,5630.000,5655.000
bTiO,AA,ew,4758.500,4800.000,4742.750,4756.50000,4827.875,4847.875
