# NAME			HERSCHEL_SPIRE_PSW
# COMPNAME		HERSCHEL_SPIRE_PSW
# DETECTOR		photon
# WAVELENGTH_UNIT	AA
# COMMENT		https://nhscsci.ipac.caltech.edu/sc/index.php/Pacs/FilterCurves
#
## WAVELENGTH 	None 	AA
## THROUGHPUT 	None 	filter throughput definition
#
WAVELENGTH,THROUGHPUT
1666666.7,4.8938e-4
1669449.1,3.8007e-4
1672240.8,2.7077e-4
1674761.3,1.5634e-4
1677570.9,2.4249e-5
1694340.9,1.0249e-4
1697216.6,2.6462e-4
1699813.0,4.3033e-4
1702707.3,5.9590e-4
1705611.5,6.0557e-4
1708525.5,6.0088e-4
1711449.6,6.1245e-4
1714089.8,6.5524e-4
1717033.0,6.9802e-4
1719986.2,8.5143e-4
1722949.7,1.0390e-3
1725625.5,1.1566e-3
1728608.5,9.7348e-4
1731601.7,7.9018e-4
1734605.4,5.8872e-4
1737619.5,3.7568e-4
1740341.1,1.7026e-4
1743375.2,1.6147e-4
1746419.8,1.5282e-4
1749475.2,1.8784e-4
1752541.2,2.7385e-4
1755309.8,3.5985e-4
1758396.3,3.0212e-4
1761493.7,2.2593e-4
1764602.1,1.5824e-4
1767409.0,1.0908e-4
1770538.2,6.0000e-5
1773678.6,2.9524e-4
1776830.1,6.3297e-4
1779992.9,9.2982e-4
1782849.0,1.0127e-3
1786033.2,1.0955e-3
1789228.8,8.5040e-4
1792435.9,3.7158e-4
1805054.2,1.7656e-4
1808318.3,8.2462e-4
1811266.1,1.4725e-3
1814552.7,1.6396e-3
1817851.3,1.7275e-3
1821161.9,1.6762e-3
1824484.6,1.2686e-3
1827485.4,8.6154e-4
1830831.2,8.3385e-4
1834189.3,9.6425e-4
1837559.7,1.1111e-3
1840942.6,1.3666e-3
1843997.8,1.6220e-3
1847404.4,1.9018e-3
1850823.6,2.1993e-3
1854255.5,2.4982e-3
1857355.1,2.9333e-3
1860811.3,3.3714e-3
1864280.4,3.5780e-3
1867762.4,3.4418e-3
1871257.5,3.3055e-3
1874414.2,3.1179e-3
1877934.3,2.9172e-3
1881467.5,2.8293e-3
1885014.1,3.0725e-3
1888574.1,3.3143e-3
1891789.6,3.5311e-3
1895375.3,3.7333e-3
1898974.6,3.9077e-3
1902587.5,3.8242e-3
1905851.0,3.7407e-3
1909490.2,3.5824e-3
1913143.3,3.3553e-3
1916810.4,3.1282e-3
1920491.6,3.4447e-3
1923816.9,3.7919e-3
1927525.1,4.2110e-3
1931247.6,4.7531e-3
1934984.5,5.2938e-3
1938360.1,5.6278e-3
1942124.7,5.9092e-3
1945903.9,6.2374e-3
1949697.8,6.7355e-3
1953506.5,7.2322e-3
1956947.2,8.0234e-3
1960784.3,8.9729e-3
1964636.5,9.8960e-3
1968503.9,1.0459e-2
1972386.6,1.1023e-2
1975894.1,1.1745e-2
1979806.0,1.2630e-2
1983733.4,1.3514e-2
1987676.4,1.4974e-2
1991238.6,1.6498e-2
1995211.5,1.8154e-2
1999200.3,2.0073e-2
2003205.1,2.2007e-2
2007226.0,2.4762e-2
2010858.6,2.7766e-2
2014910.3,3.1048e-2
2018978.4,3.5458e-2
2023062.9,3.9883e-2
2027164.0,4.4923e-2
2030869.2,5.0344e-2
2035002.0,5.5897e-2
2039151.7,6.4527e-2
2043318.3,7.3158e-2
2047082.9,8.3048e-2
2051282.1,9.4344e-2
2055498.5,1.0566e-1
2059732.2,1.2149e-1
2063983.5,1.3786e-1
2067824.6,1.5707e-1
2072109.4,1.8212e-1
2076412.0,2.0718e-1
2080732.4,2.3399e-1
2085070.9,2.6154e-1
2088991.0,2.8850e-1
2093364.0,3.1311e-1
2097755.4,3.3788e-1
2102165.2,3.6601e-1
2106150.0,3.9648e-1
2110595.2,4.2711e-1
2115059.2,4.6535e-1
2119542.2,5.0359e-1
2124044.2,5.3714e-1
2128112.4,5.6469e-1
2132650.9,5.9209e-1
2137208.8,6.0073e-1
2141786.2,6.0630e-1
2146383.3,6.1245e-1
2150537.6,6.2022e-1
2155172.4,6.2784e-1
2159827.2,6.3648e-1
2164502.2,6.4557e-1
2168727.0,6.5421e-1
2173440.6,6.6022e-1
2178174.7,6.6623e-1
2182929.5,6.6930e-1
2187705.1,6.7018e-1
2192021.0,6.7092e-1
2196836.6,6.8190e-1
2201673.3,6.9289e-1
2206531.3,6.9905e-1
2210922.0,6.9788e-1
2215821.0,6.9670e-1
2220741.7,6.9187e-1
2225684.4,6.8630e-1
2230649.1,6.8176e-1
2235136.3,6.8088e-1
2240143.4,6.7985e-1
2245172.9,6.9553e-1
2250225.0,7.1912e-1
2255300.0,7.4139e-1
2259887.0,7.5355e-1
2265005.7,7.6586e-1
2270147.6,7.6659e-1
2275312.9,7.5736e-1
2279981.8,7.4813e-1
2285192.0,7.4520e-1
2290426.0,7.4271e-1
2295684.1,7.4989e-1
2300966.4,7.7319e-1
2305741.3,7.9648e-1
2311070.0,8.1216e-1
2316423.4,8.2593e-1
2321801.7,8.3751e-1
2327205.0,8.4117e-1
2332089.6,8.4484e-1
2337540.9,8.4601e-1
2343017.8,8.4586e-1
2348520.4,8.4630e-1
2353494.9,8.5333e-1
2359046.9,8.6051e-1
2364625.2,8.6022e-1
2370229.9,8.5245e-1
2375861.2,8.4484e-1
2380952.4,8.4454e-1
2386634.8,8.4498e-1
2392344.5,8.5084e-1
2398081.5,8.6725e-1
2403846.2,8.8352e-1
2409058.1,8.9788e-1
2414875.6,9.1165e-1
2420721.4,9.1927e-1
2426595.5,9.0183e-1
2431906.6,8.8440e-1
2437835.2,8.6901e-1
2443792.8,8.5495e-1
2449779.5,8.4205e-1
2455795.7,8.5201e-1
2461235.5,8.6198e-1
2467308.2,8.7619e-1
2473410.8,8.9509e-1
2479543.8,9.1399e-1
2485707.2,9.1004e-1
2491280.5,9.0344e-1
2497502.5,8.9495e-1
2503755.6,8.8234e-1
2510040.2,8.6974e-1
2515723.3,8.7179e-1
2522068.1,8.7897e-1
2528445.0,8.8601e-1
2534854.2,8.9348e-1
2541296.1,9.0095e-1
2547121.8,9.0491e-1
2553626.1,9.0667e-1
2560163.9,9.0857e-1
2566735.1,9.1868e-1
2573340.2,9.2879e-1
2579313.9,9.3905e-1
2585984.0,9.4945e-1
2592688.6,9.5985e-1
2599428.1,9.5136e-1
2605523.7,9.3993e-1
2612330.2,9.2703e-1
2619172.3,9.1033e-1
2626050.4,8.9363e-1
2632964.7,8.9963e-1
2639218.8,9.1458e-1
2646202.7,9.3158e-1
2653223.7,9.6615e-1
2660282.0,9.9253e-1
2666666.7,1.0000e+0
2673796.8,9.8886e-1
2680965.1,9.6498e-1
2688172.0,9.3040e-1
2695417.8,9.0388e-1
2701972.4,8.9465e-1
2709292.9,8.8469e-1
2716653.1,9.0095e-1
2724053.4,9.1678e-1
2731494.1,9.2205e-1
2738225.6,9.3187e-1
2745744.1,9.3070e-1
2753304.0,9.1883e-1
2760905.6,8.9832e-1
2767783.0,8.8337e-1
2775464.9,8.7678e-1
2783189.5,8.7531e-1
2790957.3,8.5773e-1
2798768.5,8.4425e-1
2805836.1,8.2696e-1
2813731.0,7.9941e-1
2821670.4,7.6440e-1
2829654.8,7.4110e-1
2837684.4,6.8864e-1
2844950.2,6.8073e-1
2853067.0,7.2601e-1
2861230.3,6.6256e-1
2869440.5,6.6857e-1
2876870.0,6.3575e-1
2885170.2,5.8637e-1
2893518.5,5.1985e-1
2901915.3,4.5582e-1
2910360.9,3.8330e-1
2918004.1,3.2205e-1
2926543.8,2.6784e-1
2935133.5,2.1744e-1
2943773.9,1.2478e-1
2952465.3,5.6322e-2
2960331.6,3.0901e-2
2969121.1,1.8549e-2
2977963.1,1.1514e-2
2986857.8,7.4286e-3
2994908.7,6.0440e-3
3003905.1,5.0696e-3
3012955.7,4.5890e-3
3022061.0,4.3473e-3
3031221.6,4.1538e-3
3039513.7,3.9458e-3
3048780.5,3.7407e-3
3058104.0,3.4403e-3
3067484.7,3.1106e-3
3076923.1,2.7985e-3
3085467.4,2.4381e-3
3095017.0,2.1729e-3
3104625.9,1.9311e-3
3114294.6,1.7114e-3
3123048.1,1.5048e-3
3132832.1,1.3002e-3
3142677.6,1.0923e-3
3152585.1,9.1297e-4
3162555.3,7.5897e-4
3171582.6,6.2593e-4
3181673.6,5.2527e-4
3191828.9,4.5890e-4
3202049.3,4.0396e-4
3211303.8,3.7040e-4
3221649.5,3.4300e-4
3232062.1,3.2059e-4
3242542.2,2.9289e-4
3253090.4,2.6593e-4
3262642.7,2.3722e-4
3273322.4,2.1436e-4
3284072.2,1.9150e-4
3294892.9,1.7070e-4
3305785.1,1.5751e-4
3315649.9,1.4548e-4
3326680.0,1.3541e-4
3337783.7,1.2778e-4
3348961.8,1.2015e-4
3359086.3,1.1149e-4
3370407.8,1.0262e-4
