# NAME           	STROMGREN_u
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	energy
# COMPNAME       	STROMGREN_u
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3.125000000000000000e+03,0.000000000000000000e+00
3.150000000000000000e+03,1.000000000000000021e-02
3.175000000000000000e+03,2.999999999999999889e-02
3.200000000000000000e+03,5.999999999999999778e-02
3.225000000000000000e+03,1.100000000000000006e-01
3.250000000000000000e+03,1.700000000000000122e-01
3.275000000000000000e+03,2.300000000000000100e-01
3.300000000000000000e+03,2.899999999999999800e-01
3.325000000000000000e+03,3.300000000000000155e-01
3.350000000000000000e+03,3.599999999999999867e-01
3.375000000000000000e+03,3.800000000000000044e-01
3.400000000000000000e+03,3.900000000000000133e-01
3.425000000000000000e+03,3.900000000000000133e-01
3.450000000000000000e+03,3.900000000000000133e-01
3.475000000000000000e+03,3.800000000000000044e-01
3.500000000000000000e+03,3.699999999999999956e-01
3.525000000000000000e+03,3.599999999999999867e-01
3.550000000000000000e+03,3.300000000000000155e-01
3.575000000000000000e+03,2.999999999999999889e-01
3.600000000000000000e+03,2.600000000000000089e-01
3.625000000000000000e+03,2.200000000000000011e-01
3.650000000000000000e+03,1.700000000000000122e-01
3.675000000000000000e+03,1.199999999999999956e-01
3.700000000000000000e+03,8.000000000000000167e-02
3.725000000000000000e+03,5.000000000000000278e-02
3.750000000000000000e+03,2.000000000000000042e-02
3.775000000000000000e+03,1.000000000000000021e-02
3.800000000000000000e+03,0.000000000000000000e+00
