# NAME           	TYCHO_B_MvB
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	energy
# COMPNAME       	TYCHO_B_MvB
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
3.511400000000000091e+03,0.000000000000000000e+00
3.527300000000000182e+03,5.000000000000000104e-03
3.543199999999999818e+03,1.000000000000000021e-02
3.559099999999999909e+03,1.799999999999999864e-02
3.575099999999999909e+03,2.900000000000000147e-02
3.591000000000000000e+03,4.399999999999999745e-02
3.606900000000000091e+03,6.099999999999999867e-02
3.622800000000000182e+03,8.000000000000000167e-02
3.638800000000000182e+03,1.010000000000000064e-01
3.654699999999999818e+03,1.239999999999999991e-01
3.670599999999999909e+03,1.489999999999999936e-01
3.686599999999999909e+03,1.759999999999999898e-01
3.702500000000000000e+03,2.049999999999999878e-01
3.718400000000000091e+03,2.349999999999999867e-01
3.734400000000000091e+03,2.670000000000000151e-01
3.750300000000000182e+03,2.999999999999999889e-01
3.766199999999999818e+03,3.340000000000000191e-01
3.782199999999999818e+03,3.699999999999999956e-01
3.798099999999999909e+03,4.069999999999999729e-01
3.814099999999999909e+03,4.440000000000000058e-01
3.830000000000000000e+03,4.809999999999999831e-01
3.846000000000000000e+03,5.180000000000000160e-01
3.861900000000000091e+03,5.550000000000000488e-01
3.877900000000000091e+03,5.899999999999999689e-01
3.893800000000000182e+03,6.250000000000000000e-01
3.909800000000000182e+03,6.580000000000000293e-01
3.925699999999999818e+03,6.889999999999999458e-01
3.941699999999999818e+03,7.169999999999999707e-01
3.957699999999999818e+03,7.439999999999999947e-01
3.973599999999999909e+03,7.680000000000000160e-01
3.989599999999999909e+03,7.890000000000000346e-01
4.005500000000000000e+03,8.080000000000000515e-01
4.021500000000000000e+03,8.249999999999999556e-01
4.037500000000000000e+03,8.399999999999999689e-01
4.053400000000000091e+03,8.519999999999999796e-01
4.069400000000000091e+03,8.629999999999999893e-01
4.085400000000000091e+03,8.729999999999999982e-01
4.101399999999999636e+03,8.810000000000000053e-01
4.117300000000000182e+03,8.890000000000000124e-01
4.133300000000000182e+03,8.960000000000000187e-01
4.149300000000000182e+03,9.040000000000000258e-01
4.165300000000000182e+03,9.110000000000000320e-01
4.181199999999999818e+03,9.180000000000000382e-01
4.197199999999999818e+03,9.260000000000000453e-01
4.213199999999999818e+03,9.340000000000000524e-01
4.229199999999999818e+03,9.429999999999999494e-01
4.245199999999999818e+03,9.509999999999999565e-01
4.261100000000000364e+03,9.599999999999999645e-01
4.277100000000000364e+03,9.679999999999999716e-01
4.293100000000000364e+03,9.759999999999999787e-01
4.309100000000000364e+03,9.829999999999999849e-01
4.325100000000000364e+03,9.889999999999999902e-01
4.341100000000000364e+03,9.939999999999999947e-01
4.357100000000000364e+03,9.989999999999999991e-01
4.373100000000000364e+03,1.000000000000000000e+00
4.389100000000000364e+03,9.959999999999999964e-01
4.405100000000000364e+03,9.869999999999999885e-01
4.421100000000000364e+03,9.719999999999999751e-01
4.437100000000000364e+03,9.479999999999999538e-01
4.453100000000000364e+03,9.150000000000000355e-01
4.469100000000000364e+03,8.760000000000000009e-01
4.485100000000000364e+03,8.309999999999999609e-01
4.501100000000000364e+03,7.790000000000000258e-01
4.517100000000000364e+03,7.219999999999999751e-01
4.533100000000000364e+03,6.640000000000000346e-01
4.549100000000000364e+03,6.039999999999999813e-01
4.565100000000000364e+03,5.430000000000000382e-01
4.581100000000000364e+03,4.839999999999999858e-01
4.597199999999999818e+03,4.279999999999999916e-01
4.613199999999999818e+03,3.750000000000000000e-01
4.629199999999999818e+03,3.260000000000000120e-01
4.645199999999999818e+03,2.829999999999999738e-01
4.661199999999999818e+03,2.459999999999999964e-01
4.677300000000000182e+03,2.139999999999999958e-01
4.693300000000000182e+03,1.859999999999999987e-01
4.709300000000000182e+03,1.630000000000000060e-01
4.725300000000000182e+03,1.439999999999999891e-01
4.741399999999999636e+03,1.280000000000000027e-01
4.757399999999999636e+03,1.160000000000000059e-01
4.773399999999999636e+03,1.049999999999999961e-01
4.789399999999999636e+03,9.600000000000000200e-02
4.805500000000000000e+03,8.899999999999999578e-02
4.821500000000000000e+03,8.300000000000000433e-02
4.837500000000000000e+03,7.599999999999999811e-02
4.853600000000000364e+03,7.000000000000000666e-02
4.869600000000000364e+03,6.300000000000000044e-02
4.885600000000000364e+03,5.700000000000000205e-02
4.901699999999999818e+03,5.000000000000000278e-02
4.917699999999999818e+03,4.399999999999999745e-02
4.933800000000000182e+03,3.699999999999999817e-02
4.949800000000000182e+03,3.099999999999999978e-02
4.965899999999999636e+03,2.500000000000000139e-02
4.981899999999999636e+03,1.899999999999999953e-02
4.997899999999999636e+03,1.400000000000000029e-02
5.014000000000000000e+03,1.000000000000000021e-02
5.030000000000000000e+03,6.000000000000000125e-03
5.046100000000000364e+03,4.000000000000000083e-03
5.062100000000000364e+03,2.000000000000000042e-03
5.078199999999999818e+03,1.000000000000000021e-03
