# NAME           	TYCHO_V_MvB
# WAVELENGTH_UNIT	angstrom
# DETECTOR       	energy
# COMPNAME       	TYCHO_V_MvB
#
## WAVELENGTH	None	angstrom
## THROUGHPUT	None	filter throughput definition
#
WAVELENGTH,THROUGHPUT
4.494699999999999818e+03,0.000000000000000000e+00
4.517699999999999818e+03,8.999999999999999320e-03
4.540699999999999818e+03,2.400000000000000050e-02
4.563699999999999818e+03,4.900000000000000189e-02
4.586699999999999818e+03,8.999999999999999667e-02
4.609800000000000182e+03,1.449999999999999900e-01
4.632800000000000182e+03,2.149999999999999967e-01
4.655899999999999636e+03,2.969999999999999862e-01
4.679000000000000000e+03,3.860000000000000098e-01
4.702000000000000000e+03,4.779999999999999805e-01
4.725100000000000364e+03,5.679999999999999494e-01
4.748199999999999818e+03,6.500000000000000222e-01
4.771300000000000182e+03,7.209999999999999742e-01
4.794399999999999636e+03,7.800000000000000266e-01
4.817500000000000000e+03,8.279999999999999583e-01
4.840699999999999818e+03,8.659999999999999920e-01
4.863800000000000182e+03,8.950000000000000178e-01
4.886899999999999636e+03,9.190000000000000391e-01
4.910100000000000364e+03,9.370000000000000551e-01
4.933199999999999818e+03,9.529999999999999583e-01
4.956399999999999636e+03,9.659999999999999698e-01
4.979500000000000000e+03,9.769999999999999796e-01
5.002699999999999818e+03,9.859999999999999876e-01
5.025899999999999636e+03,9.929999999999999938e-01
5.049100000000000364e+03,9.969999999999999973e-01
5.072300000000000182e+03,9.989999999999999991e-01
5.095500000000000000e+03,1.000000000000000000e+00
5.118699999999999818e+03,9.979999999999999982e-01
5.141899999999999636e+03,9.939999999999999947e-01
5.165199999999999818e+03,9.879999999999999893e-01
5.188399999999999636e+03,9.799999999999999822e-01
5.211600000000000364e+03,9.709999999999999742e-01
5.234899999999999636e+03,9.599999999999999645e-01
5.258199999999999818e+03,9.479999999999999538e-01
5.281399999999999636e+03,9.350000000000000533e-01
5.304699999999999818e+03,9.220000000000000417e-01
5.328000000000000000e+03,9.070000000000000284e-01
5.351300000000000182e+03,8.930000000000000160e-01
5.374600000000000364e+03,8.780000000000000027e-01
5.397899999999999636e+03,8.619999999999999885e-01
5.421199999999999818e+03,8.449999999999999734e-01
5.444500000000000000e+03,8.279999999999999583e-01
5.467800000000000182e+03,8.100000000000000533e-01
5.491100000000000364e+03,7.920000000000000373e-01
5.514500000000000000e+03,7.740000000000000213e-01
5.537800000000000182e+03,7.550000000000000044e-01
5.561199999999999818e+03,7.359999999999999876e-01
5.584500000000000000e+03,7.169999999999999707e-01
5.607899999999999636e+03,6.979999999999999538e-01
5.631300000000000182e+03,6.780000000000000471e-01
5.654699999999999818e+03,6.570000000000000284e-01
5.678000000000000000e+03,6.350000000000000089e-01
5.701399999999999636e+03,6.129999999999999893e-01
5.724800000000000182e+03,5.919999999999999707e-01
5.748300000000000182e+03,5.709999999999999520e-01
5.771699999999999818e+03,5.490000000000000435e-01
5.795100000000000364e+03,5.270000000000000240e-01
5.818500000000000000e+03,5.050000000000000044e-01
5.842000000000000000e+03,4.839999999999999858e-01
5.865399999999999636e+03,4.620000000000000218e-01
5.888899999999999636e+03,4.390000000000000013e-01
5.912300000000000182e+03,4.169999999999999818e-01
5.935800000000000182e+03,3.950000000000000178e-01
5.959300000000000182e+03,3.739999999999999991e-01
5.982699999999999818e+03,3.539999999999999813e-01
6.006199999999999818e+03,3.340000000000000191e-01
6.029699999999999818e+03,3.140000000000000013e-01
6.053199999999999818e+03,2.949999999999999845e-01
6.076699999999999818e+03,2.770000000000000240e-01
6.100199999999999818e+03,2.590000000000000080e-01
6.123699999999999818e+03,2.429999999999999938e-01
6.147300000000000182e+03,2.280000000000000082e-01
6.170800000000000182e+03,2.139999999999999958e-01
6.194300000000000182e+03,2.000000000000000111e-01
6.217899999999999636e+03,1.869999999999999996e-01
6.241399999999999636e+03,1.749999999999999889e-01
6.265000000000000000e+03,1.630000000000000060e-01
6.288600000000000364e+03,1.519999999999999962e-01
6.312100000000000364e+03,1.419999999999999873e-01
6.335699999999999818e+03,1.330000000000000071e-01
6.359300000000000182e+03,1.239999999999999991e-01
6.382899999999999636e+03,1.160000000000000059e-01
6.406500000000000000e+03,1.089999999999999997e-01
6.430100000000000364e+03,1.010000000000000064e-01
6.453699999999999818e+03,9.400000000000000022e-02
6.477300000000000182e+03,8.699999999999999400e-02
6.501000000000000000e+03,8.000000000000000167e-02
6.524600000000000364e+03,7.399999999999999634e-02
6.548199999999999818e+03,6.700000000000000400e-02
6.571899999999999636e+03,6.199999999999999956e-02
6.595500000000000000e+03,5.600000000000000117e-02
6.619199999999999818e+03,5.000000000000000278e-02
6.642899999999999636e+03,4.399999999999999745e-02
6.666500000000000000e+03,3.799999999999999906e-02
6.690199999999999818e+03,3.099999999999999978e-02
6.713899999999999636e+03,2.400000000000000050e-02
6.737600000000000364e+03,1.799999999999999864e-02
6.761300000000000182e+03,1.200000000000000025e-02
6.785000000000000000e+03,6.000000000000000125e-03
